ID,sex,age,marital,Q4,Q5,Q6,Q7,Q15,Q16,Q17,Q18,Q21,Q19,Q24,Q25,Q101_1,Q101_2,Q101_3,Q101_4,Q101_5,Q101_6,Q101_7,Q101_8,Q101_9,Q101_10,Q101_11,Q101_12,Q101_13,Q101_14,Q101_15,Q101_16,Q101_17,Q101_18,Q101_19,Q101_20,Q48,Q95_1,Q95_2,Q95_3,Q95_4,Q95_5,Q95_6,Q95_7,Q95_8,Q95_9,Q95_10,Q95_11,Q95_12,Q95_13,Q95_14,Q95_15,source01
1106,2,19,2,2,0,6,0,1,1,2,1,2,9,1,1,1,1,1,1,3,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,3,4,5,5,4,5,4,5,5,5,4,5,1
1115,1,20,2,2,0,6,0,1,1,2,2,1,9,1,1,1,1,1,1,3,1,1,5,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,4,5,5,5,5,5,5,5,5,5,4,5,1
1196,1,20,2,2,0,6,0,2,2,2,2,2,9,1,1,1,0,3,3,5,1,1,1,5,2,1,2,2,3,2,3,3,2,2,1,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,1
1261,2,22,2,1,1,6,1,1,2,1,2, ,9,1,1,1,0,5,5,5,1,1,5,2,1,1,4,1,1,1,1,4,1,4,1,3,4,4,2,5,5,5,1,1,4,5,5,5,5,5,5,1
1160,1,27,2,2,0,6,0,1,2,2,2, ,9,1,1,1,0,2,2,5,1,1,4,2,1,1,1,1,1,1,1,3,1,1,1,3,4,4,3,4,3,4,3,3,3,5,5,5,5,4,5,1
1096,1,33,2,1,1,6,1,1, ,1, ,1,9,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,2,1,1,2,1,1,2,4,3,3,4,4,4,4,4,3,4,4,4,4,5,5,5,1
1094,2,39,1,1,1,6,1,1,1,1,1,2,9,1,1,1,1,1,1,3,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,5,5,3,3,3,3,5,5,5,5,5,5,1
1118,2,18,2,2,0,6,0,1,2,2,2,2,9,1,1,1,1,3,3,5,1,2,5,2,2,1,3,2,1,1,3,2,1,2,1,4,4,3,4,4,3,4,4,3,5,4,5,4,4,3,4,1
1172,2,18,2,2,0,6,0, ,2,2,2,2,9,1,1,1,0,2,2,3,1,1,4,2,2,1,1,1,2,1,3,3,2,3,2,3,4,4,3,4,2,4,3,3,5,5,5,4,4,4,4,1
1100,2,20,2,1,1,6,1,1,1,2,2, ,9,1,1,1,1,1,1,5,1,3,4,1,1,1,1,1,1,1,1,1,1,1,2,4,3,3,2,4,2,3,2,3,4,4,4,5,4,4,4,1
1274,2,20,2,2,0,6,0, ,2,2,2,2,9,1,1,1,0,4,4,3,1,2,2,2,2,1,3,2,3,3,3,4,2,4,3,3,4,3,3,4,4,4,4,3,4,4,3,4,4,4,4,1
1174,1,21,2,1,1,6,1,1, ,1, ,2,9,1,1,1,0,3,2,3,1,2,4,2,1,1,2,2,2,1,2,3,1,2,1,4,4,4,4,4,4,5,5,5,5,5,4,5,4,3,4,1
1121,2,23,2,1,1,6,1,1,1,1,1,2,9,1,1,1,1,2,3,3,1,1,4,2,3,1,1,1,1,1,2,2,1,1,2,4,4,4,4,5,5,4,4,4,4,4,3,4,4,4,4,1
1097,3,27,2,1,1,6,1,1,1,2,2,1,9,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,3,5,5,5,5,5,5,5,3,5,4,3,4,1
1302,2,27,1,2,0,6,0,2,2,2, ,2,9,1,1,0,0,4,4,4,1,2,4,3,2,2,4,2,4,1,4,5,3,4,2,3,3,2,2,3,3,4,4,4,4,4,2,2,2,2,4,1
1205,1,19,3,2,0,6,0,4,2,2,2,4,9,1,1,0,0,3,4,3,1,3,2,1,3,2,3,2,3,2,3,3,2,3,2,3,3,4,4,4,4,4,3,4,3,4,3,3,3,4,3,1
1237,2,19,2,1,1,6,1,2,2,2,2,2,9,1,1,1,0,4,4,3,3,3,4,2,4,2,3,2,4,2,4,4,2,4,3,3,2,3,3,4,3,3,2,2,4,4,2,5,4,3,3,1
1178,2,20,2,2,0,6,0,2,2,2,2,2,9,1,1,1,0,2,2, ,1,1,3,2,1,1,2,2,1,1,1,1,1,1,3,1,2,2,2,3,3,4,4,4,4,3,3,4,3,4,3,1
1210,2,20,2,2,0,6,0, , ,2,2,2,9,1,1,0,0,3,3,5,1,1,3,3,3,1,2,1,1,1,1,3,1,1,2,3,2,2,3,3,3,3,3,3,3,3,3,5,4,3,3,1
1207,1,21,2,1,1,6,1,2,4,2, ,2,9,1,1,0,0,3,3,3,4,3,5,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1
1268,1,21,1,1,1,6,1,1,2,1,2,1,9,1,1,1,0,4,4,4,4,4,2,3,4,3,4,3,4,2,4,4,3,4,3,2,3,4,4,4,4,4,4,4,2,3,3,3,4,3,3,1
1152,1,23,2,2,0,6,0,2,4,1,4,2,9,1,1,1,0,4,2,2,1,2,2,1,1,1,1,2,1,1,1,4,2,3,2,3,3,3,3,3,3,3,2,3,2,4,4,1,3,3,3,1
1109,1,24,2,1,1,6,1,1,1,2,2,1,9,1,1,1,1,1,3,5,1,1,1,2,2,2,3,1,1,1,1,3,3,3,1,3,2,2,2,5,4,5,3,3,3,4,4,5,4,4,3,1
1223,2,27,2,1,1,6,1,2,4,2,4, ,9,1,1,0,0,4,4,3,5,2,4,1,2,1,2,1,2,1,2,3,1,1,2,3,3,2,3,4,4,4,1,1,3,5,2,3,3,5,3,1
1290,2,30,2,2,0,6,0,1,2,2,2,2,9,1,1,0,0,3,4,5,2,2,4,3,2,1,3,2,4,1,3,3,2,3,2,4,4,4,4,4,4,4,4,3,4,2,2,2,2,3,3,1
1275,1,32,2,2,0,6,0,1,1,1,1,2,9,1,1,1,0,3,3,3,3,3,3,4,2,1,3,3,3,2,3,3,2,3,2,2,3,3,3,1,3,3,3,3,3,3,2,3,2,2,3,1
1128,1,33,1,2,0,6,0,2, ,2, , ,9,1,1,1,1,4,2,5,4,4,4,2,2,2,3,2,3,1,3,3,2,3,2,4,3,3,4,2,3,4,2,2,4,2,3,4,4,4,3,1
1241,1,20,1,2,0,6,0,1,2,2,2, ,9,1,1,1,0,2,3,5,2,4,4,2,2,1,2,1,2,1,3,3,1,3,2,4,3,4,4,4,4,5,4,4,5,3,2,4,4,4,2,1
1209,1,22,2,2,0,6,0,2,2,2,2,2,1,2,2,0,0,4,4,2,1,2,1,3,4,5,3,2,5,3,3,5,3,3,2,3,4,4,5,4,4,4,4,4,4,2,1,2,2,2,2,1
1222,1,34,2,1,1,6,1,4, ,2,4,1,9,1,1,0,0,3,3,5,3,3,2,1,1,1,1,1,2,1,2,3,1,2,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,3,2,1
1079,2,24,2,1,1,6,1,2, ,2, ,2,9,1,1, , , , , , , , , , , , , , , , , , , , , ,2,2,3,5,4,5,5,5,5,1,1,1,1,2,1,1
1086,1,36,2,1,1,6,1,1,2,2,2,2,9,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,5,1,1,5,1,1,3,5,3,4,3,5,5,5,1,5,2,1,1,1,1,4,1,1
1120,1,39,2,1,1,6,1, ,2,2, ,2,9,1,1,1,1,2,2,4,1,1,3,4,1,1,1,1,1,1,1,1,1,1,2,1,3,2,4,5,5,5,4,4,4,1,1,1,1,3,1,1
1056,2,18,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1026,1,18,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1031,2,18,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1051,2,18,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1075,2,18,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1077,2,18,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1019,1,19,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1036,2,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1043,2,19,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1300,2,19,2,1,1,6,1,1, ,2,2, ,9,1,2,0,0,4,2,4,4,2,5,2,2,2,1,1,4,1,3,5,1,4,3,3, , , , , , , , , , , , , , , ,1
1054,2,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1057,2,20,3,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1073,1,20,2,2,0,6,0,1, ,1,2, ,9,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1143,2,20,3,1,1,6,1,2,2,2,2,2,9,1,1,1,1,3,3,5,2,2,3,2,4,3,3,2,2,2,2,4,3,3,3,3, , , , , , , , , , , , , , , ,1
1039,1,21,2,2,0,6,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1053,1,21,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1082,1,21,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1023,1,22,2,1,1,6,1,2,2,2,2,2,9,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1166,2,23,2,2,0,6,0,1, ,2,2,2,9,1,1,1,0,2,4,2,1,2,4,2,1,1,1,1,1,1,2,4,1,2,2,4, , , , , , , , , , , , , , , ,1
1008,2,26,2,1,1,6,1,1,2,2, , ,9,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1078,1,31,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1080,1,31,1,1,1,6,1,2,4,2, , ,9,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1074,1,32,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1353,2,18,2,1,3,2,2,2, ,2, ,2,2,2,3,0,0,4,5,1,1,4,2,3,2,2,3,2,3,1,3,3,1,3,2,3,2,2,4,4,4,5,4,1,4,3,2,4,3,5,5,1
1161,2,19,2,1,2,3,2,1,2,2,2, ,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,4,2,4,2,4,3,3,4,4,4,5,4,5,5,4,5,1
1197,2,19,2,1,2,1,2,1,1,1,1,2,9,2,2,1,0,2,2,2,2,4,5,1,1,3,1,1,1,1,1,3,1,2,2,5,4,4,4,3,4,3,3,5,5,5,5,5,5,5,5,1
1235,2,20,2,1,2,1,1,1,1,1,1,2,9,1,1,1,0,2,1,2,3,3,4,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,1,4,2,4,4,2,2,5,4,5,5,5,5,1
1246,1,20,2,1,3,1,2,1,1,1,1,2,1,2,2,1,0,5,5,2,2,4,4,3,3,2,2,2,4,2,4,5,2,3,2,3,3,2,3,4,4,4,4,3,4,5,5,5,5,5,5,1
1322,1,20,2,1,4,1,2,1,2,2,2,1,9,2,4,1,0,4,5,1,3,4,4,2,4,1,4,4,5,2,5,5,2,5,3,4,5,5,5,2,5,5,5,5,5,5,2,3,4,3,5,1
1341,1,20,2,1,2,1,2,1,2,2,2,2,9,1,1,1,0,5,5,3,3,4,5,2,2,3,4,4,5,2,5,5,3,4,1,3,1,3,1,5,5,5,5,5,5,2,2,4,4,5,5,1
1104,2,21,2,1,2,2,1,1,1,1,1,1,9,3,2,1,1,2,2,2,1,1,5,5,1,2,2,2,3,2,1,3,2,2,2,4,1,1,1,4,4,4,4,4,4,4,3,4,4,5,5,1
1138,2,21,2,1,2,2,2,1,1,2, ,2,3,1,1,1,1,2,2,1,1,1,4,1,1,1,1,1,2,1,2,2,1,2,2,4,2,2,4,4,4,4,3,4,4,4,3,5,5,4,5,1
1377,2,21,2,1,2,2,2,1,1,2,2,2,9,1,1,0,0,5,4,2,1,4,3,3,2,2,2,2,2,1,2,4,1,2,2,2,2,2,2,5,5,5,4,5,5,3,4,4,4,4,5,1
1378,2,21,2,1,3,2,2,1,1,2,2,2,9,2,2,0,0,4,1,2,1,1,1,5,4,1,5,1,5,1,5,5,1,5,5,1,3,3,3,5,4,5,5,5,5,5,1,5,1,5,5,1
1232,1,23,2,1,3,1,3,1,1,2,2,1,1,2,3,1,0,3,4,1,3,4,5,3,3,1,1,1,1,1,1,4,2,2,1,4,2,3,3,3,3,4,4,4,5,5,4,5,5,5,5,1
1135,2,35,2,1,2,3,2,1,1,2,2,2,9,1,1,1,1,3,1,2,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,2,2,1,3,3,3,3,2,2,5,4,5,5,1
1105,1, ,2,1,2,1,1,1,2,1,2,1,9,1,1,1,1,2,3,3,2,2,2,2,1,1,1,3,1,1,1,1,1,1,1,2,4,4,3,3,3,2,2,2,4,4,4,4,4,4,4,1
1173,2,18,2,1,2,2,1,2,2,2,2,2,9,1,2,1,0,4,2,2,3,4,3,2,2,2,2,1,2,2,2,2,2,2,2,4,2,2,3,4,4,4,4,2,3,5,4,4,4,3,4,1
1175,2,18,2,1,2,1,1, , ,2, ,2,9, , ,1,0,2,2,2,2,2,3,2,2,2,3,2,3,2,2,3,2,3,3,3,4,4,2,3,4,3,3,3,3,3,4,4,4,4,4,1
1264,2,18,2,1,2,2,1,1,1,1,1,2,1,1,1,1,0,3,2,3,2,3,4,3,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,4,4,4,4,4,4,3,4,4,3,4,1
1395,1,18,2,1,3,1,2,1,1,2,2,2,1,2,2,0,0,5,5,2,2,4,3,1,1,1,4,4,5,1,5,5,1,5,1,4,3,3,4,3,2,2,2,1,1,4,4,5,4,3,4,1
1123,1,19,2,1,2,1,1,2,2,2,2,2,9,2,1,1,1,3,3,4,2,2,4,2,3,4,3,2,3,2,3,3,3,3,2,4,2,3,4,4,4,4,4,4,4,4,2,4,4,4,4,1
1176,2,19,2,1,2,3,2,1,1,2, ,2,4,2,2,1,0,2,4,2,1,1,3,3,2,1,2,1,3,1,3,3,1,3,2,1,3,3,4,5,4,5,4,5,4,2,2,3,3,4,4,1
1313,2,19,2,1,3,2,2,1,2,2, ,2,1,3,3,0,0,3,4,2,4,4,4,2,2,1,2,2,4,1,4,4,2,4,2,4,2,2,4,5,4,4,4,4,5,4,4,5,5,4,4,1
1316,2,19,2,1,2,3,2,1,1,1,1,2,2,2,3,0,0,4,2,2,2,4,4,2,2,3,2,2,3,1,3,3,2,3,2,4,2,2,3,4,4,2,2,2,4,5,2,4,4,4,4,1
1125,2,20,2,1,2,1,1,1, ,1, ,2,9,1,2,1,1,3,4,4,2,2,4,2,2,1,1,2,3,1,2,4,2,2,1,4,4,4,4,5,4,5,4,2,5,4,2,4,3,4,4,1
1193,2,20,2,1,2,3,2,2,2,2, ,2,1,1,1,1,0,2,2,4,1,3,4,2,2,1,2,2,2,1,2,3,1,2,2,4,2,4,3,5,4,4,4,2,5,3,4,5,3,5,4,1
1272,2,20,2,1,2,1,3,2,2,2,2,2,2,1,3,1,0,4,4,2,1,1,4,4,2,2,2,1,4,2,4,4,1,2,4,4,4,4,4,5,3,4,4,4,4,4,2,5,2,5,4,1
1289,1,20,2,1,2,1,2,1,2,2, , ,4,3,2,0,0,4,4,4,1,1,4,3,1,1,2,2,3,2,2,4,2,3,2,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,1
1112,1,21,2,1,2,1,2, , ,2, ,2,1,2,1,1,1, ,2,2,1,1,2,2,1,1, ,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,3,3, ,5,5,4,4,4,1
1157,1,21,2,1,2,3,2,2, ,2, ,2,9,1,1,1,0,4,4,4,1,1,2,4,2,1,4,2,2,1,2,4,1,3,4,1,3,3,3,4,1,4,2,2,4,4,2,4,3,5,4,1
1184,2,21,3,1,2,2,2,1,2,2, ,2,9,2, ,1,0,3,3,3,2,3,4,2,2,1,2,2,2,1,2,2,2,2,2,3,3,4,5,3,4,3,4,4,4,2,2,3,2,3,4,1
1260,2,21,2,1,2,2,1,1,1,1,1,2,1,2,1,1,0,4,2,1,1,2,1,2,2,2,1,4,2,1,1,4,1,2,2,3,4,4,4,4,4,4,4,4,4,2,2,5,5,4,4,1
1102,2,23,1,1,2,2,2,1,2,1,2,2,9,1,1,1,1,1,3,2,1,3,4,2,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,3,1,4,3,4,4,1
1111,1,23,1,1,3,2,2,1,2,2, ,2,1,2,2,1,1,1,1,1,1,2,4,1,1,1,1,2,1,1,1,2,1,1,4,5,5,4,4,4,2,5,1,5,4,5,3,5,4,3,4,1
1361,2,25,2,1,2,3,2,1,2,1,2,2,9,1,1,0,0,5,5,4,3,4,3,3,5,2,2,1,3,1,3,4,2,4,1,3,3,4,4,4,4,5,5,5,5,4,2,3,3,4,4,1
1116,2,26,2,1,2,2,2,1,2,2,2, ,9,2,1,1,1,2,2,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,2,4,4,3,4,4,4,4,4,3,2,5,4,4,5,2,4,1
1245,1,26,2,1,2,3,2,1,1,2, ,1,3,4,5,1,0,4,4,2,2,2,5,1,2,1,1,1,2,1,3,4,1,1,1,4,4,4,4,4,5,5,5,5,5,4,4,4,4,2,4,1
1091,2,27,2,1,2,1,2,1,2,1,2,2,1,3,5,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,2,4,2,2,2,4,4,4,4,4,4,3,3,3,3,4,4,1
1130,1,27,2,1,3,2,2,2, ,1,2,2,2,2,2,1,1,2,3,3,3,3,2,3,1,3,2,2,2,1,3,3,1,3,2,3,3,3,3,3,3,4,3,2,2,4,4,4,4,4,4,1
1226,2,27,2,1,2,1,1,2, ,2, ,2,1,1,2,0,0,4,4,4,2,2,3,2,3,2,4,3,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,4,4,3,3,4,3,4,4,1
1140,2,29,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1,2,2,3,4,4,5,3,1,1,2,2,2,1,1,3,1,2,2,4,2,4,3,4,4,4,4,2,4,5,3,4,4,5,4,1
1134,2,30,1,1,2,3,1,1,2,2,2,2,9,2,1,1,1,4,4,4,4,4,4,4,3,1,4,2,4,2,4,4,4,3,1,3,4,4,4,5,5,2,4,3,5,3,3,5,2,5,4,1
1390,1,30,2,1,2,3,2,1,2,2, ,2,9,1,2,0,0,3,1,5,2,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,2,4,5,2,2,2,2,3,4,1
1098,2,35,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,4,4,2,4,4,3,3,2,2,2,2,2,1,1,2,1,2,2,4,3,3,2,4,3,4,4,2,5,4,3,4,2,4,4,1
1306,2,35,2,1,3,2,2, , ,2, ,2,1,2,1,0,0,4,5,3,4,4,3,3,2,2,2,1,2,1,1,2,1,2,2,3,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,1
1195,1,39,2,1,2,1,1,1,1,1,1,2,1,1,2,1,0,3,4,3,1,1,4,1,1,1,1,1,1,1,2,2,1,2,1,4,2,3,4,4,5,3,3,3,5,5,3,5,3,4,4,1
1122,2,43,2,1,2,2,2,1,1,2,2,2,3,2,3,1,1,3,4,2,1,1,4,3,2,2,2,2,3,1,1,3,2,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1
1139,2,50,1,1,2,2,1,2, ,2, ,2,1,1,1,1,1,3,3,5,3,3,5,3,1,1,1,2,2,2,2,2,1,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,1
1085,2,18,2,1,3,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,5,1,1,1,1,4,1,5,5,5,5,5,5,5,5,1,4,4,1,3,1
1206,2,18,2,1,2,2,2,2, ,2, ,2,9,1,1,0,0,3,3,2,1,4,1,2,2,1,3,2,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,4,4,3,1
1283,1,18,2,1,4,1,1,2, ,2, ,2,2,1,2,0,0,4,4,3,2,5,2,2,1,3,1,1,3,2,3,3,2,3,2,4,2,2,3,4,5,4,3,3,3,3,3,4,3,3,3,1
1314,2,18,1,1,2,2,1,1,1,2,2,2,9,1,1,0,0,4,3,3,3,3,3,2,3,1,2,2,2,1,2,4,2,2,2,3,4,4,4,4,3,4,4,4,4,4,3,4,3,3,3,1
1133,2,19,2,1,2,1,1,1,2,2, ,2,9,2,2,1,1,2,4,3,1,1,4,3,2,2,2,2,3,2,3,3,2,3,2,4,3,4,4,5,4,4,4,4,5,4,3,4,4,2,3,1
1185,2,19,2,1,2,2,2,1,1,2,2,2,9,1,1,1,0,3,2,2,4,4,2,2,2,2,3,2,3,2,3,3,2,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
1215,2,19,2,1,2,1,1,2, ,2, ,2,1,1,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,3,3,3,3,3,3,1
1279,2,19,2,1,2,1,1,1,1,2, ,2,1,1,1,1,0,3,3,2,1,2,4,2,3,2,2,2,3,3,3,3,2,3,2,4,3,3,3,3,4,3,3,3,4,2,2,5,3,4,3,1
1288,2,19,2,1,2,2,1,1, ,1, ,2,9,1,1,0,0,3,4,2,3,3,3,3,3,2,2,2,2,2,2,3,2,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,3,2,3,1
1132,2,20,2,1,2,3,2,2,2,2,2, ,1,1, ,1,1,2,2,3,5,5,2,2,2,2,2,2,2,2,3,4,2,2,3,3,2,3,2,4,2,4,2,2,4,4,2,4,2,3,3,1
1188,2,20,2,1,3,1,2,2, ,2,2,2,3,2,4,1,0,4,4,2,4,3,5,2,3,3,3,2,3,2,3,4,2,3,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,3,1
1192,2,20,2,1,2,3,2,1,1,2,2, ,1,2,1,1,0,3,3,1,1,2,3,2,3,1,2,2,3,1,3,3,1,2,2,4,4,3,4,4,4,3,4,3,3,4,3,3,4,4,3,1
1217,1,20,2,1,2,1,1,2,2,2,2, ,9,2,3,0,0,3,3,2,2,2,3,3,2,1,2,2,3,1,3,3,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
1218,1,20,2,1,2,2,1, , ,2,2, ,1,2,2,0,0,3,3,2,3,3,2,3,2,3,2,3,3,1,3,3,2,3,2,3,4,4,4,4,3,4,3,3,4,4,3,4,4,3,3,1
1351,2,20,2,1,3,2,2,2, ,2, ,2,3,1,3,1,0,4,4,5,2,4,4,2,4,4,4,1,4,1,4,4,3,3,2,2,2,4,4,4,5,5,4,4,4,2,2,4,2,3,3,1
1391,2,20,2,1,3,1,2,1, ,2, ,2,9,2,2,0,0,5,5,4,3,3,3,2,1,3,3,3,5,2,3,4,2,3,3,3,3,4,4,5,4,5,5,5,5,4,4,5,4,4,3,1
1141,2,21,2,1,2,2,2,2,2,2,2,2,1,4,2,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,3,4,3,2,5,4,3,5,3,3,3,1
1151,2,21,2,1,2,3,2,1,2,2,2,2,2,2,2,1,0,3,3,2,1,1,2,3,3,2,3,2,3,3,3,3,3,2,2,3,3,2,3,4,3,4,3,4,4,3,3,4,3,4,3,1
1180,2,21,3,1,2,1,1,2, ,2, ,2,9,1,1,1,0,3,2,4,2,2,3,2,5,2,2,1,1,1,1,1,1,2,2,3,3,3,3,2,2,3,2,3,2,3,3,3,3,3,3,1
1250,1,21,2,1,2,3,2,1,2,2,2,2,2,2,3,1,0,3,3,1,2,3,3,2,2,2,2,2,3,2,3,3,2,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,3,3,1
1254,2,21,3,1,2,3,2, ,2,2, ,2,2, ,4,1,0,4,3,2,2,3,3,3,1,1,1,1,1,1,1,1,1,2,1,4,3,4,2,4,1,3,2,3,4,2,2,5,3,5,3,1
1304,1,21,2,1,3,2,2,1,2,1,2,2,3,3,1,0,0,4,4,3,2,3,3,3,2,1,1,2,3,1,3,3,1,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1
1319,1,21,2,1,2,1,2,2, ,2, ,2,2,3,3,0,0,3,5,5,2,4,5,3,2,2,4,1,4,1,5,5,2,4,1,1,4,2,3,4,5,4,3,3,5,3,3,3,3,4,3,1
1153,2,22,2,1,3,2,2,1,1,2,2,2,1,3,3,1,0,3,4,2,1,4,3,2,1,1,3,1,2,1,1,3,1,2,1,4,1,4,2,4,3,4,4,4,4,4,4,4,2,5,3,1
1227,2,22,2,1,2,2,1,1,2,2,2,2,9,2,2,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,1
1247,1,22,1,1,2,1,1,1,1,1,1,1,1,3,1,1,0,4,4,2,5,5,4,2,3,4,2,1,1,1,1,3,1,2,1,2,2,2,2,3,4,4,4,3,4,2,4,2,2,3,3,1
1325,1,22,2,1,2,3,2,1,2,1,2,2,9,3,5,1,0,4,3,2,3,3,3,3,2,2,2,2,4,2,4,3,2,3,3,5,2,4,2,4,3,4,3,3,3,2,2,2,2,4,3,1
1371,1,22,2,1,2,3,2,1,2,2,2,2,9,1,1,0,0,5,5,5,3,3,3,4,5,4,5,2,4,2,4,4,1,5,2,2,3,3,4,4,4,4,3,3,4,3,3,3,3,5,3,1
